numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
66,"Cuando el celador traslada a un paciente desde un servicio a otro, ¿qué NO deberá hacer?",Llevar la historia del paciente.,Colocar los drenajes sobre la cama.,Informar al paciente qué va a hacer con él.,"Informar al personal sanitario del servicio de origen, que se lleva al paciente . Respuesta Correcta: B",B,Colocar los drenajes sobre la cama.,"66. Cuando el celador traslada a un paciente desde un servicio a otro, ¿qué NO deberá hacer?
A) Llevar la historia del paciente.
B) Colocar los drenajes sobre la cama.
C) Informar al paciente qué va a hacer con él.
D) Informar al personal sanitario del servicio de origen, que se lleva al paciente .
Respuesta Correcta: B"
67,¿Cuál de los siguientes materiales auxiliares se usa normalmente en un hospital?,Grúas.,Camillas.,Sillas de ruedas.,Todos se utilizan. Respuesta Correcta: D,D,Todos se utilizan. Respuesta Correcta: D,"67. ¿Cuál de los siguientes materiales auxiliares se usa normalmente en un hospital?
A) Grúas.
B) Camillas.
C) Sillas de ruedas.
D) Todos se utilizan.
Respuesta Correcta: D"
68,La enfermera nos indica que debe realizarse el lavado de cabeza a un paciente encamado. El celador ayudará a colocarlo en posición,Trendelenburg.,Fowler.,Morestin.,Roser. Respuesta Correcta: D,D,Roser. Respuesta Correcta: D,"68. La enfermera nos indica que debe realizarse el lavado de cabeza a un paciente encamado. El celador ayudará a
colocarlo en posición:
A) Trendelenburg.
B) Fowler.
C) Morestin.
D) Roser.
Respuesta Correcta: D"
69,¿Cuál es la obligación de un celador en relación con la colocación y retirada de cuñas para la recogida de excretas de los enfermos?,"Cuando por circunstancias especiales concurrentes en el enfermo, no pueda este ser movido sólo por las enfermeras o ayudantes de planta, ayudará en la colocación y retirada de las cuñas para la recogida de excretas de dichos enfermos.",Sólo ayudará en la retirada.,No es su cometido.,Ninguna es correcta. Página 17 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: A,A,"Cuando por circunstancias especiales concurrentes en el enfermo, no pueda este ser movido sólo por las enfermeras o ayudantes de planta, ayudará en la colocación y retirada de las cuñas para la recogida de excretas de dichos enfermos.","69. ¿Cuál es la obligación de un celador en relación con la colocación y retirada de cuñas para la recogida de
excretas de los enfermos?
A) Cuando por circunstancias especiales concurrentes en el enfermo, no pueda este ser movido sólo por las
enfermeras o ayudantes de planta, ayudará en la colocación y retirada de las cuñas para la recogida de
excretas de dichos enfermos.
B) Sólo ayudará en la retirada.
C) No es su cometido.
D) Ninguna es correcta.
Página 17 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: A"
70,"Cuando el paciente se encuentra en un plano inclinado de 45 grados, respecto al plano del suelo, boca arriba y con la cabeza más baja que los pies, está en posición",Anti-trendelenburg.,Morestín.,Trendelenburg inverso.,Trendelenburg. Respuesta Correcta: D,D,Trendelenburg. Respuesta Correcta: D,"70. Cuando el paciente se encuentra en un plano inclinado de 45 grados, respecto al plano del suelo, boca arriba y
con la cabeza más baja que los pies, está en posición:
A) Anti-trendelenburg.
B) Morestín.
C) Trendelenburg inverso.
D) Trendelenburg.
Respuesta Correcta: D"
71,"Al transferir un paciente desde la cama a un sillón en aquellas circunstancias que el enfermo puede colaborar en el traslado, se le sujetará",Pasando el brazo del enfermo por encima del cuello del celador.,Cogiéndolo de las manos.,Abrazándolo a la altura de los hombros.,Por la cintura. Respuesta Correcta: D,D,Por la cintura. Respuesta Correcta: D,"71. Al transferir un paciente desde la cama a un sillón en aquellas circunstancias que el enfermo puede colaborar en
el traslado, se le sujetará:
A) Pasando el brazo del enfermo por encima del cuello del celador.
B) Cogiéndolo de las manos.
C) Abrazándolo a la altura de los hombros.
D) Por la cintura.
Respuesta Correcta: D"
72,"Las modificaciones realizadas en la postura corporal del paciente encamado, y que forman parte del plan de cuidados, se denominan",Fisioterapia pasiva.,Arcos de movimiento.,Cambios posturales.,Mecánica corporal. Respuesta Correcta: C,C,Cambios posturales.,"72. Las modificaciones realizadas en la postura corporal del paciente encamado, y que forman parte del plan de
cuidados, se denominan:
A) Fisioterapia pasiva.
B) Arcos de movimiento.
C) Cambios posturales.
D) Mecánica corporal.
Respuesta Correcta: C"
73,"Cuando un paciente se encuentra en la cama tumbado sobre el abdomen boca abajo, con las piernas extendidas y la cabeza girada a un lado, decimos que se encuentra en",Decúbito supino.,Decúbito prono.,Posición Fowler.,Posición Trendelemburg. Página 18 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,Decúbito prono.,"73. Cuando un paciente se encuentra en la cama tumbado sobre el abdomen boca abajo, con las piernas extendidas
y la cabeza girada a un lado, decimos que se encuentra en:
A) Decúbito supino.
B) Decúbito prono.
C) Posición Fowler.
D) Posición Trendelemburg.
Página 18 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
74,La cama debe estar situada en la habitación de tal manera que permita atender al paciente,Por ambos laterales y los pies de la cama.,Por ambos laterales de la cama.,"Por ambos laterales, los pies y la cabecera de la cama.",Por ambos laterales y la cabecera de la cama. Respuesta Correcta: A,A,Por ambos laterales y los pies de la cama.,"74. La cama debe estar situada en la habitación de tal manera que permita atender al paciente:
A) Por ambos laterales y los pies de la cama.
B) Por ambos laterales de la cama.
C) Por ambos laterales, los pies y la cabecera de la cama.
D) Por ambos laterales y la cabecera de la cama.
Respuesta Correcta: A"
75,Corresponde al celador realizar el traslado de,Muestras biológicas al servicio de laboratorio.,Documentos y correspondencia entre unidades.,Distribución de las dietas a los pacientes.,Órdenes médicas verbales a otros miembros del equipo. Respuesta Correcta: B,B,Documentos y correspondencia entre unidades.,"75. Corresponde al celador realizar el traslado de:
A) Muestras biológicas al servicio de laboratorio.
B) Documentos y correspondencia entre unidades.
C) Distribución de las dietas a los pacientes.
D) Órdenes médicas verbales a otros miembros del equipo.
Respuesta Correcta: B"
76,"Si se solicita una exploración radiológica a un paciente ingresado en urgencias, ¿quién debe realizar el traslado del paciente, para la realización de dicha exploración?",Los técnicos de rayos.,La auxiliar de enfermería responsable del paciente.,El celador.,El personal de recepción. Respuesta Correcta: C,C,El celador.,"76. Si se solicita una exploración radiológica a un paciente ingresado en urgencias, ¿quién debe realizar el traslado
del paciente, para la realización de dicha exploración?
A) Los técnicos de rayos.
B) La auxiliar de enfermería responsable del paciente.
C) El celador.
D) El personal de recepción.
Respuesta Correcta: C"
77,El traslado y movilización de pacientes y usuarios es una competencia de,Los enfermeros.,Los celadores.,Los auxiliares de enfermería.,Los técnicos medios en cuidados auxiliares de enfermería. Respuesta Correcta: B Página 19 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,B,Los celadores.,"77. El traslado y movilización de pacientes y usuarios es una competencia de:
A) Los enfermeros.
B) Los celadores.
C) Los auxiliares de enfermería.
D) Los técnicos medios en cuidados auxiliares de enfermería.
Respuesta Correcta: B
Página 19 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
78,¿Quién supervisa las medidas y medios que se utilizan para la inmovilización y/o sujeción del paciente?,El propio celador.,El servicio de seguridad.,Los familiares del paciente.,El personal sanitario responsable. Respuesta Correcta: D,D,El personal sanitario responsable. Respuesta Correcta: D,"78. ¿Quién supervisa las medidas y medios que se utilizan para la inmovilización y/o sujeción del paciente?
A) El propio celador.
B) El servicio de seguridad.
C) Los familiares del paciente.
D) El personal sanitario responsable.
Respuesta Correcta: D"
79,Las anomalías o deficiencias observadas en la dotación del servicio encomendado respecto al traslado de material y equipos sanitarios y no sanitarios,"Se pone en conocimiento del responsable de la unidad para su reparación, mediante los protocolos establecidos.","Se comunican, pero no hay protocolos al efecto.",Se comunican mensualmente.,No es necesario comunicarlas. Respuesta Correcta: A,A,"Se pone en conocimiento del responsable de la unidad para su reparación, mediante los protocolos establecidos.","79. Las anomalías o deficiencias observadas en la dotación del servicio encomendado respecto al traslado de
material y equipos sanitarios y no sanitarios:
A) Se pone en conocimiento del responsable de la unidad para su reparación, mediante los protocolos
establecidos.
B) Se comunican, pero no hay protocolos al efecto.
C) Se comunican mensualmente.
D) No es necesario comunicarlas.
Respuesta Correcta: A"
80,Uno de los criterios de realización del traslado del material y los equipos sanitarios y no sanitarios es el siguiente,El medio utilizado para el transporte no requiere identificación.,La lencería se traslada en cajas destinadas a tal fin para depositarlas en el lugar correspondiente.,"El medio utilizado para el transporte se identifica, en función del material sanitario y no sanitario a trasladar, para asegurar su desplazamiento con seguridad, atendiendo a la normativa de riesgos laborales.",La atención al público se proporciona demostrando habilidades de comunicación. Respuesta Correcta: C,C,"El medio utilizado para el transporte se identifica, en función del material sanitario y no sanitario a trasladar, para asegurar su desplazamiento con seguridad, atendiendo a la normativa de riesgos laborales.","80. Uno de los criterios de realización del traslado del material y los equipos sanitarios y no sanitarios es el siguiente:
A) El medio utilizado para el transporte no requiere identificación.
B) La lencería se traslada en cajas destinadas a tal fin para depositarlas en el lugar correspondiente.
C) El medio utilizado para el transporte se identifica, en función del material sanitario y no sanitario a trasladar,
para asegurar su desplazamiento con seguridad, atendiendo a la normativa de riesgos laborales.
D) La atención al público se proporciona demostrando habilidades de comunicación.
Respuesta Correcta: C"
81,El profesional celador en la movilización de enfermos debe aplicar una buena técnica basada en los principios,De ergonomía.,Del menor esfuerzo posible.,De celeridad en la movilización.,Todas las respuestas anteriores son correctas. Página 20 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: A,A,De ergonomía.,"81. El profesional celador en la movilización de enfermos debe aplicar una buena técnica basada en los principios:
A) De ergonomía.
B) Del menor esfuerzo posible.
C) De celeridad en la movilización.
D) Todas las respuestas anteriores son correctas.
Página 20 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: A"
82,"La cama electrocircular, cuando gira al paciente, da un giro de",30 grados.,180 grados.,90 grados.,45 grados. Respuesta Correcta: B,B,180 grados.,"82. La cama electrocircular, cuando gira al paciente, da un giro de:
A) 30 grados.
B) 180 grados.
C) 90 grados.
D) 45 grados.
Respuesta Correcta: B"
83,"Es muy importante la comunicación con los pacientes terminales, la actitud que debe asumir el celador incluye",Es mejor dejarlo solo para no molestarlo.,Actitud de empatía y comprensión.,No dejarle que manifieste su tristeza ni su llanto.,Evitar que el paciente hable sobre su enfermedad. Respuesta Correcta: B,B,Actitud de empatía y comprensión.,"83. Es muy importante la comunicación con los pacientes terminales, la actitud que debe asumir el celador incluye:
A) Es mejor dejarlo solo para no molestarlo.
B) Actitud de empatía y comprensión.
C) No dejarle que manifieste su tristeza ni su llanto.
D) Evitar que el paciente hable sobre su enfermedad.
Respuesta Correcta: B"
84,"¿Cómo se denomina al período de tiempo que transcurre desde que un paciente va a ser intervenido, se prepara la intervención, se realiza y hasta que es dado de alta del hospital?",Preoperatorio.,Postoperatorio.,Perioperatorio.,Transoperatorio. Respuesta Correcta: C,C,Perioperatorio.,"84. ¿Cómo se denomina al período de tiempo que transcurre desde que un paciente va a ser intervenido, se prepara
la intervención, se realiza y hasta que es dado de alta del hospital?
A) Preoperatorio.
B) Postoperatorio.
C) Perioperatorio.
D) Transoperatorio.
Respuesta Correcta: C"
85,Una intervención quirúrgica puede cumplir varias funciones según el objetivo que se persigue con su realización. Indica la opción CORRECTA,Curativa o estética.,Reparadora o reconstructiva.,Todas son correctas.,Diagnóstica. Página 21 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,C,Todas son correctas.,"85. Una intervención quirúrgica puede cumplir varias funciones según el objetivo que se persigue con su realización.
Indica la opción CORRECTA:
A) Curativa o estética.
B) Reparadora o reconstructiva.
C) Todas son correctas.
D) Diagnóstica.
Página 21 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
86,El gorro es una prenda que los celadores/as deben utilizar dentro del quirófano,"No, solo deben utilizarlo los cirujanos.",Solo está indicado para el personal sanitario.,Es de uso obligatorio para el personal con el pelo largo.,Es una prenda obligatoria para todas las personas que accedan al área quirúrgica. Respuesta Correcta: D,D,Es una prenda obligatoria para todas las personas que accedan al área quirúrgica. Respuesta Correcta: D,"86. El gorro es una prenda que los celadores/as deben utilizar dentro del quirófano:
A) No, solo deben utilizarlo los cirujanos.
B) Solo está indicado para el personal sanitario.
C) Es de uso obligatorio para el personal con el pelo largo.
D) Es una prenda obligatoria para todas las personas que accedan al área quirúrgica.
Respuesta Correcta: D"
87,El quirófano debe estar construido con unas determinadas características. Señala la opción INCORRECTA,"Las paredes, techo y suelo deben estar construidos con un material no poroso de fácil limpieza.",La combinación de humedad baja y temperatura baja es deseable para evitar la deshidratación del tejido expuesto del paciente.,Las puertas que disminuyan la turbulencia del aire.,La iluminación del techo se instalará en un solo pivote. Respuesta Correcta: B,B,La combinación de humedad baja y temperatura baja es deseable para evitar la deshidratación del tejido expuesto del paciente.,"87. El quirófano debe estar construido con unas determinadas características. Señala la opción INCORRECTA:
A) Las paredes, techo y suelo deben estar construidos con un material no poroso de fácil limpieza.
B) La combinación de humedad baja y temperatura baja es deseable para evitar la deshidratación del tejido
expuesto del paciente.
C) Las puertas que disminuyan la turbulencia del aire.
D) La iluminación del techo se instalará en un solo pivote.
Respuesta Correcta: B"
88,"En el quirófano, el celador/a tiene una serie de funciones. Indica la opción incorrecta",Colocar a los pacientes en la mesa de operaciones.,Ayudará dentro del quirófano a entregar instrumental que sea requerido por el personal médico.,Las opciones B y D son incorrectas.,"Si el paciente fallece, avisará a un compañero para que realice el traslado a mortuorio. Respuesta Correcta: C",C,Las opciones B y D son incorrectas.,"88. En el quirófano, el celador/a tiene una serie de funciones. Indica la opción incorrecta:
A) Colocar a los pacientes en la mesa de operaciones.
B) Ayudará dentro del quirófano a entregar instrumental que sea requerido por el personal médico.
C) Las opciones B y D son incorrectas.
D) Si el paciente fallece, avisará a un compañero para que realice el traslado a mortuorio.
Respuesta Correcta: C"
89,¿Cuál de las siguientes NO es una posición quirúrgica?,Trendelenburg.,Posición de Proetz.,Posición de Morestín.,Todas las opciones anteriores son correctas. Respuesta Correcta: D Página 22 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,D,Todas las opciones anteriores son correctas. Respuesta Correcta: D Página 22 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"89. ¿Cuál de las siguientes NO es una posición quirúrgica?
A) Trendelenburg.
B) Posición de Proetz.
C) Posición de Morestín.
D) Todas las opciones anteriores son correctas.
Respuesta Correcta: D
Página 22 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
90,Indica el orden correcto al colocarse la vestimenta de quirófano,"Calzas, gorro, mascarilla, bata estéril y guantes estériles.","Gorro, mascarilla, calzas, bata estéril y guantes estériles.","Mascarilla, calzas, gorro, bata estéril y guantes estériles.","Calzas, gorro, mascarilla, guantes estériles y bata estéril. Respuesta Correcta: A",A,"Calzas, gorro, mascarilla, bata estéril y guantes estériles.","90. Indica el orden correcto al colocarse la vestimenta de quirófano:
A) Calzas, gorro, mascarilla, bata estéril y guantes estériles.
B) Gorro, mascarilla, calzas, bata estéril y guantes estériles.
C) Mascarilla, calzas, gorro, bata estéril y guantes estériles.
D) Calzas, gorro, mascarilla, guantes estériles y bata estéril.
Respuesta Correcta: A"
91,Indica la respuesta que NO es correcta,En la antisepsia no se utilizan productos químicos.,"La infección es la invasión y entrada en el organismo de agentes extraños muertos ya sean virus, hongos o bacterias.",Se conoce como asepsia al conjunto de técnicas que garantizan la presencia de materia séptica o microorganismos infecciosos.,Todas las respuestas anteriores son falsas. Respuesta Correcta: D,D,Todas las respuestas anteriores son falsas. Respuesta Correcta: D,"91. Indica la respuesta que NO es correcta:
A) En la antisepsia no se utilizan productos químicos.
B) La infección es la invasión y entrada en el organismo de agentes extraños muertos ya sean virus, hongos o
bacterias.
C) Se conoce como asepsia al conjunto de técnicas que garantizan la presencia de materia séptica o
microorganismos infecciosos.
D) Todas las respuestas anteriores son falsas.
Respuesta Correcta: D"
92,"Dentro de los métodos de desinfección de material existen los procedimientos físicos, ¿cuál de los siguientes NO está dentro de este tipo de método?",Pasteurización.,Antisépticos.,Hervido y ebullición.,Rayos solares. Respuesta Correcta: B,B,Antisépticos.,"92. Dentro de los métodos de desinfección de material existen los procedimientos físicos, ¿cuál de los siguientes NO
está dentro de este tipo de método?
A) Pasteurización.
B) Antisépticos.
C) Hervido y ebullición.
D) Rayos solares.
Respuesta Correcta: B"
93,"El hipoclorito sódico es un método de desinfección químico, ¿a qué procedimiento químico pertenece?",Aldehídos.,Cloruros.,Alcoholes.,Fenol y derivados. Respuesta Correcta: B Página 23 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,B,Cloruros.,"93. El hipoclorito sódico es un método de desinfección químico, ¿a qué procedimiento químico pertenece?
A) Aldehídos.
B) Cloruros.
C) Alcoholes.
D) Fenol y derivados.
Respuesta Correcta: B
Página 23 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
94,"El conjunto de técnicas utilizadas para la eliminación o inhibición de los gérmenes patógenos que existen sobre objetos y superficies, se denomina",Pasteurización.,Esterilización.,Higiene.,Desinfección. Respuesta Correcta: D,D,Desinfección. Respuesta Correcta: D,"94. El conjunto de técnicas utilizadas para la eliminación o inhibición de los gérmenes patógenos que existen sobre
objetos y superficies, se denomina:
A) Pasteurización.
B) Esterilización.
C) Higiene.
D) Desinfección.
Respuesta Correcta: D"
95,"La desinfección que solo es activa frente a virus lipídicos de tamaño medio, bacterias en forma vegetativa y hongos, es de",Bajo nivel.,Nivel intermedio.,Alto nivel.,Ninguna de las opciones anteriores es correcta. Respuesta Correcta: A,A,Bajo nivel.,"95. La desinfección que solo es activa frente a virus lipídicos de tamaño medio, bacterias en forma vegetativa y
hongos, es de:
A) Bajo nivel.
B) Nivel intermedio.
C) Alto nivel.
D) Ninguna de las opciones anteriores es correcta.
Respuesta Correcta: A"
96,"El instrumental que requiere asepsia total y que temporal o definitivamente va a quedar en el interior del organismo, se denomina",Crítico.,Semicrítico.,No crítico.,Material fungible. Respuesta Correcta: A,A,Crítico.,"96. El instrumental que requiere asepsia total y que temporal o definitivamente va a quedar en el interior del
organismo, se denomina:
A) Crítico.
B) Semicrítico.
C) No crítico.
D) Material fungible.
Respuesta Correcta: A"
97,"Para que la conservación del material estéril sea la más adecuada, el almacén debe reunir los siguientes requisitos, EXCEPTO",Las paredes deben ser lisas para facilitar su limpieza.,Debe tener acceso restringido.,El material debe almacenarse caliente.,"Las condiciones climáticas ideales son: ventilación (6 renovaciones por hora), temperatura (15ºC - 25ºC) y humedad (40% - 60%). Respuesta Correcta: C Página 24 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",C,El material debe almacenarse caliente.,"97. Para que la conservación del material estéril sea la más adecuada, el almacén debe reunir los siguientes
requisitos, EXCEPTO:
A) Las paredes deben ser lisas para facilitar su limpieza.
B) Debe tener acceso restringido.
C) El material debe almacenarse caliente.
D) Las condiciones climáticas ideales son: ventilación (6 renovaciones por hora), temperatura (15ºC - 25ºC) y
humedad (40% - 60%).
Respuesta Correcta: C
Página 24 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
98,Un material esterilizado que se encuentre envasado en contenedor (con protección del filtro) tiene un periodo de caducidad de,Doce meses.,Seis meses.,Máximo tres meses.,Un mes. Respuesta Correcta: B,B,Seis meses.,"98. Un material esterilizado que se encuentre envasado en contenedor (con protección del filtro) tiene un periodo de
caducidad de:
A) Doce meses.
B) Seis meses.
C) Máximo tres meses.
D) Un mes.
Respuesta Correcta: B"
99,"Señala la respuesta CORRECTA, cuando un celador/a es contratado en un centro sanitario deberá",Todas las respuestas son correctas.,"Valorar el estado inmuno/ vacunal frente hepatitis, tétanos.",Seguir controles periódicos por el servicio de medicina preventiva.,Si padece una exposición accidental (pinchazo) debe comunicarlo al servicio correspondiente en un plazo de tiempo no superior a 24 horas. Respuesta Correcta: A,A,Todas las respuestas son correctas.,"99. Señala la respuesta CORRECTA, cuando un celador/a es contratado en un centro sanitario deberá:
A) Todas las respuestas son correctas.
B) Valorar el estado inmuno/ vacunal frente hepatitis, tétanos.
C) Seguir controles periódicos por el servicio de medicina preventiva.
D) Si padece una exposición accidental (pinchazo) debe comunicarlo al servicio correspondiente en un plazo de
tiempo no superior a 24 horas.
Respuesta Correcta: A"
100,"En cuanto al lavado de manos quirúrgico, una de las siguientes recomendaciones es FALSA, indica cuál","Enjabonado con jabón antiséptico durante 3 minutos, aclarado.","Cepillado de uñas 30 segundos cada mano con cepillo jabonoso, aclarado.","Secado, sin frotar, con toalla estéril.",Cerrar el grifo mediante el sistema pedal pie. Respuesta Correcta: A,A,"Enjabonado con jabón antiséptico durante 3 minutos, aclarado.","100. En cuanto al lavado de manos quirúrgico, una de las siguientes recomendaciones es FALSA, indica cuál:
A) Enjabonado con jabón antiséptico durante 3 minutos, aclarado.
B) Cepillado de uñas 30 segundos cada mano con cepillo jabonoso, aclarado.
C) Secado, sin frotar, con toalla estéril.
D) Cerrar el grifo mediante el sistema pedal pie.
Respuesta Correcta: A"
101,"Las principales recomendaciones en cuanto al uso de guantes son las siguientes, indica la opción ERRÓNEA","Deben utilizarse cuando pueda existir contacto con sangre, secreciones corporales, fluidos corporales.",Evitar su uso en situaciones no recomendadas.,Retirar los guantes después del contacto con el paciente y desecharlo.,No es necesario realizar higiene de manos al cambiar de guantes. Respuesta Correcta: D Página 25 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,D,No es necesario realizar higiene de manos al cambiar de guantes. Respuesta Correcta: D Página 25 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"101. Las principales recomendaciones en cuanto al uso de guantes son las siguientes, indica la opción ERRÓNEA:
A) Deben utilizarse cuando pueda existir contacto con sangre, secreciones corporales, fluidos corporales.
B) Evitar su uso en situaciones no recomendadas.
C) Retirar los guantes después del contacto con el paciente y desecharlo.
D) No es necesario realizar higiene de manos al cambiar de guantes.
Respuesta Correcta: D
Página 25 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
102,"En la UCI, ¿cómo se denominan las unidades especializadas identificadas según patologías que presentan los pacientes?",Cubículos.,Box o boxes.,Zonas de vigilancia intensiva.,Unidades especiales de vigilancia. Respuesta Correcta: B,B,Box o boxes.,"102. En la UCI, ¿cómo se denominan las unidades especializadas identificadas según patologías que presentan los
pacientes?
A) Cubículos.
B) Box o boxes.
C) Zonas de vigilancia intensiva.
D) Unidades especiales de vigilancia.
Respuesta Correcta: B"
103,"En la UCI, ¿cuál es la disposición idónea para colocar las camas?",Hacia un lado con la cabecera hacia el centro.,Siempre a un lado para poder acceder fácilmente al paciente.,En el centro del box con la cabecera hacia la pared del fondo.,"La posición de la cama no es importante, sino los cuidados que se dispensan al paciente. Respuesta Correcta: C",C,En el centro del box con la cabecera hacia la pared del fondo.,"103. En la UCI, ¿cuál es la disposición idónea para colocar las camas?
A) Hacia un lado con la cabecera hacia el centro.
B) Siempre a un lado para poder acceder fácilmente al paciente.
C) En el centro del box con la cabecera hacia la pared del fondo.
D) La posición de la cama no es importante, sino los cuidados que se dispensan al paciente.
Respuesta Correcta: C"
104,"""Partes del cuerpo humano de entidad suficiente procedente de abortos, mutilaciones, operaciones quirúrgicas o autopsias"", es la definición de",Cadáver.,Restos humanos.,Restos cadavéricos.,Ninguna de las respuestas anteriores es correcta. Respuesta Correcta: B,B,Restos humanos.,"104. ""Partes del cuerpo humano de entidad suficiente procedente de abortos, mutilaciones, operaciones quirúrgicas o
autopsias"", es la definición de:
A) Cadáver.
B) Restos humanos.
C) Restos cadavéricos.
D) Ninguna de las respuestas anteriores es correcta.
Respuesta Correcta: B"
105,"El rigor mortis es el endurecimiento del cuerpo que se produce después de la muerte, ¿cuándo se produce?",5 horas de la muerte.,12 horas de la muerte.,De 2 a 4 horas de la muerte.,De 7 a 9 horas de la muerte. Respuesta Correcta: C,C,De 2 a 4 horas de la muerte.,"105. El rigor mortis es el endurecimiento del cuerpo que se produce después de la muerte, ¿cuándo se produce?
A) 5 horas de la muerte.
B) 12 horas de la muerte.
C) De 2 a 4 horas de la muerte.
D) De 7 a 9 horas de la muerte.
Respuesta Correcta: C"
106,"Se define como ""toda práctica mortuoria que permite la conservación y exposición del cadáver con las debidas garantías sanitarias"": Página 26 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Tanalogía.,Tanatopraxia.,Tanatopsia.,Tanatoplasia. Respuesta Correcta: B,B,Tanatopraxia.,"106. Se define como ""toda práctica mortuoria que permite la conservación y exposición del cadáver con las debidas
garantías sanitarias"":
Página 26 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Tanalogía.
B) Tanatopraxia.
C) Tanatopsia.
D) Tanatoplasia.
Respuesta Correcta: B"
107,"La muerte es el cese total y definido de todas las funciones vitales del organismo humano. Se suele utilizar la palabra éxitus para referirse al momento del fallecimiento, ¿qué otros nombres recibe ese momento?",Defunción.,Deceso.,Óbito.,Todas son correctas. Respuesta Correcta: D,D,Todas son correctas. Respuesta Correcta: D,"107. La muerte es el cese total y definido de todas las funciones vitales del organismo humano. Se suele utilizar la
palabra éxitus para referirse al momento del fallecimiento, ¿qué otros nombres recibe ese momento?
A) Defunción.
B) Deceso.
C) Óbito.
D) Todas son correctas.
Respuesta Correcta: D"
108,"Según Gisbert Calabuig existen cuatro fases de la muerte, ¿a cuál de estas fases nos referimos si decimos que se produce una extinción o desaparición progresiva e irreversible de la actividad biológica de los diferentes órganos y tejidos?",Fase muerte aparente.,Fase muerte relativa.,Fase muerte intermedia.,Fase muerte absoluta. Respuesta Correcta: C,C,Fase muerte intermedia.,"108. Según Gisbert Calabuig existen cuatro fases de la muerte, ¿a cuál de estas fases nos referimos si decimos que
se produce una extinción o desaparición progresiva e irreversible de la actividad biológica de los diferentes
órganos y tejidos?
A) Fase muerte aparente.
B) Fase muerte relativa.
C) Fase muerte intermedia.
D) Fase muerte absoluta.
Respuesta Correcta: C"
